artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,mode_Major,mode_Minor
"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,128,56,38,97,4,0,35,4,False,False,False,False,False,False,False,False,False,True,False,False,True
"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,79,56,58,56,37,0,11,10,False,False,False,False,False,False,False,False,True,False,False,True,False
"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,144,77,75,58,52,0,23,25,False,False,False,False,False,False,False,False,False,False,False,True,False
Miley Cyrus,1,2020,11,27,3372,19,570515054,122,67,49,64,10,0,10,3,False,False,False,False,False,False,False,True,False,False,False,True,False
OneRepublic,1,2022,5,13,8431,76,1085685420,140,71,82,81,11,0,6,5,False,False,False,False,False,False,False,False,False,False,False,True,False
The Weeknd,1,2016,11,24,2483,59,1647990401,134,59,51,52,9,0,15,7,False,False,False,True,False,False,False,False,False,False,False,False,True
"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,186,68,49,59,16,0,13,28,False,False,False,False,False,False,False,False,False,True,False,True,False
"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,67,53,50,53,23,0,44,7,False,False,False,True,False,False,False,False,False,False,False,False,True
"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,106,72,17,64,7,0,10,5,False,True,False,False,False,False,False,False,False,False,False,False,True
"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,128,60,23,91,0,0,12,3,False,False,False,False,False,False,False,False,False,True,False,True,False
Karol G,1,2023,2,24,1133,39,153372011,107,92,55,70,18,0,15,7,False,False,False,False,False,False,False,False,True,False,False,False,True
Peggy Gou,1,2023,6,15,2259,59,57876440,130,67,96,88,12,19,8,4,False,False,False,False,False,False,False,False,False,True,False,False,True
Tom Odell,1,2012,10,15,18371,83,1813673666,123,45,13,54,70,0,9,4,False,False,False,False,False,False,True,False,False,False,False,False,True
The Weeknd,1,2019,11,29,43899,69,3703895074,171,50,38,80,0,0,9,7,False,False,False,True,False,False,False,False,False,False,False,True,False
Kali Uchis,1,2023,2,24,2649,42,256483385,137,64,88,72,51,0,17,5,False,False,False,False,False,False,False,False,False,True,False,False,True
Manuel Turizo,1,2022,5,26,6804,45,1214083358,125,84,85,68,58,0,22,4,False,False,False,False,False,False,False,False,False,True,False,False,True
Karol G,1,2023,7,14,525,41,16011326,128,86,42,72,59,0,9,19,False,False,False,False,False,False,False,False,False,False,False,False,True
Taylor Swift,1,2020,7,24,7923,29,812019557,130,61,53,58,55,0,27,4,False,False,False,False,False,False,False,False,False,False,False,False,True
"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,130,86,59,96,50,1,9,5,False,False,True,False,False,False,False,False,False,False,False,True,False
"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,133,70,86,81,25,0,25,5,False,False,False,False,False,False,False,True,False,False,False,True,False
"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,101,88,72,59,62,0,9,3,False,False,False,False,True,False,False,False,False,False,False,True,False
"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728,95,77,53,64,74,0,17,14,False,False,False,False,False,False,False,True,False,False,False,False,True
"Ozuna, Feid",2,2022,10,6,4637,38,674072710,98,90,40,59,0,0,10,29,False,False,False,True,False,False,False,False,False,False,False,False,True
Chris Molitor,1,1999,1,1,31358,43,1755214421,173,43,28,66,0,0,23,3,False,False,True,False,False,False,False,False,False,False,False,True,False
Taylor Swift,1,2022,10,21,3818,23,404562836,90,64,10,62,7,0,48,7,False,False,False,False,False,False,False,False,False,False,True,True,False
Libianca,1,2022,12,2,3506,56,373199958,198,59,71,42,55,0,10,7,False,True,False,False,False,False,False,False,False,False,False,False,True
Post Malone,1,2023,7,14,410,36,14780425,140,56,48,73,0,0,35,4,False,False,False,True,False,False,False,False,False,False,False,True,False
Taylor Swift,1,2023,7,7,148,24,39578178,82,51,22,53,1,0,15,3,False,False,False,False,False,False,False,False,False,False,True,True,False
"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,130,77,84,89,17,0,43,5,False,False,False,True,False,False,False,False,False,False,False,False,True
Glass Animals,1,2020,6,28,22543,63,2557975762,81,76,53,53,44,0,9,9,False,False,True,False,False,False,False,False,False,False,False,True,False
JVKE,1,2022,7,15,4511,36,751134527,94,51,14,59,65,18,25,3,False,False,False,True,False,False,False,False,False,False,False,False,True
The Neighbourhood,1,2012,5,14,16413,61,2282771485,124,61,41,81,5,2,10,3,False,True,False,False,False,False,False,False,False,False,False,True,False
"Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,128,62,55,78,1,3,23,4,False,False,False,False,True,False,False,False,False,False,False,True,False
Coldplay,1,2008,1,1,33898,62,1592909789,138,49,42,62,9,0,11,3,False,False,False,False,False,False,False,True,False,False,False,False,True
d4vd,1,2022,7,17,3246,23,635412045,132,58,27,48,50,0,12,3,False,False,False,False,False,False,True,False,False,False,False,True,False
"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,131,71,24,47,1,0,27,9,False,False,False,False,True,False,False,False,False,False,False,True,False
"Yandel, Feid",2,2022,12,20,3618,38,585695368,168,78,58,73,5,0,10,7,False,False,False,False,False,False,False,False,True,False,False,False,True
Maria Becerra,1,2023,6,22,370,20,43857627,98,68,40,79,33,0,30,6,False,False,False,True,False,False,False,False,False,False,False,True,False
Vance Joy,1,1975,1,1,31123,55,2009094673,102,48,50,73,43,0,15,4,False,False,False,True,False,False,False,False,False,False,False,True,False
"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,101,34,32,57,78,0,20,3,False,True,False,False,False,False,False,False,False,False,False,True,False
"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,130,63,36,34,76,0,35,9,False,False,False,False,False,False,False,True,False,False,False,True,False
Taylor Swift,1,2023,7,7,139,17,39228929,142,50,20,64,1,0,12,3,False,False,False,False,True,False,False,False,False,False,False,True,False
